wiggle_room,allocation,2017.08.16-2018.02.14,2017.10.16-2018.04.15,2017.12.15-2018.06.14,2018.02.14-2018.08.14,2018.04.15-2018.10.13,2018.06.14-2018.12.12,2018.08.14-2019.02.10,2018.10.13-2019.04.11,2018.12.12-2019.06.11,2019.02.10-2019.08.10,2019.04.11-2019.10.09,2019.06.11-2019.12.08,2019.08.09-2020.02.06,2019.10.09-2020.04.06,sum
0.01,0.9/0.1,-790.6240491156444,-340.4636283760125,667.4928222652635,1974.8569632788694,1155.2196719749936,2311.9043853584008,1729.370498569056,1489.6231410344624,-1129.7827829690732,-826.7954025082989,-60.95116579576535,759.7573569534641,529.7467925710737,490.944234724681,7960.29883796547
0.02,0.9/0.1,-790.6240491156444,-340.4636283760125,667.4928222652635,1976.658358884951,1158.9117959365474,2309.2354346520897,1721.5465719090253,1492.1315862276908,-1125.8674358957508,-827.8275975322111,-60.95116579576535,760.6487254710489,529.6714230276277,487.54611812607124,7958.108959784932
0.05,0.85/0.15,-765.9715963986449,-372.58163122006624,651.2519421591243,1986.1192729967188,1123.6201205058612,2248.005210378759,1730.594283700471,1539.1350592431147,-1079.6642282225762,-834.400307469196,-99.45606057719952,741.7337489305766,549.6346585297974,477.99944315824257,7896.019915714981
0.1,0.8/0.2,-651.4651150975462,-352.86112250301085,635.2411400011481,1778.9293729202477,1160.993047166552,2329.362063018094,1753.1659162002977,1494.0754492246265,-955.8616526816201,-879.4423379843241,-240.36132693606925,745.7903836415378,642.7015420001026,415.82401689027427,7876.09137586031
0.09,0.8/0.2,-679.528391058624,-442.96248663562693,635.2411400011481,1925.5485578909584,1162.0673087722575,2297.6158640979615,1679.3475481580526,1471.4474302333006,-991.1180065596325,-865.6935989426682,-199.48093750876933,765.5828971973568,678.2834419666392,413.3645972385556,7849.715364850909
0.08,0.8/0.2,-716.9369903364576,-453.77604604811944,477.27967049792255,1925.5485578909584,1142.9564387050825,2301.950515607642,1789.5747746842999,1471.4474302333006,-983.3035171907105,-838.6162788344991,-136.93135808119354,752.9741348552151,639.3980553631432,413.3645972385556,7784.929984585141
0.07,0.8/0.2,-716.9369903364576,-426.43690550821105,543.8292332129472,1910.394760054355,1111.7048177928345,2266.308575444279,1789.5747746842999,1484.953416160406,-1030.8503534058218,-833.9615179782646,-135.03367487286303,736.8412514242265,564.7211008090285,477.53123212331235,7742.639719604071
0.0,0.85/0.15,-764.753110128514,-380.3930628439671,604.9240387719377,1943.0153992751698,1121.0172219779377,2253.0535747116433,1707.406570154909,1472.0550350992507,-1091.2184903569657,-833.87965302042,-104.98427543031451,736.8789296389645,539.8975728473783,471.4522522348059,7674.472002931815
0.01,0.85/0.15,-768.1977994889339,-385.51547003527355,598.7287520903446,1929.5455778677183,1121.0172219779377,2250.9613954608994,1698.4258780652563,1456.3553437867056,-1091.2184903569657,-830.2885269160428,-104.98427543031451,736.8789296389645,539.8975728473783,471.5089673515293,7623.115076859204
0.04,0.85/0.15,-779.397492122485,-419.03106313716563,651.2519421591243,1920.334491560847,1123.6201205058612,2236.5574939560684,1666.1656283227474,1449.7766732572204,-1079.6642282225762,-834.400307469196,-99.45606057719952,739.116433279092,546.2680677466841,482.5412100598023,7603.682909318825
