wiggle_room,allocation,2017.08.16-2018.02.14,2017.10.16-2018.04.15,2017.12.15-2018.06.14,2018.02.14-2018.08.14,2018.04.15-2018.10.13,2018.06.14-2018.12.12,2018.08.14-2019.02.10,2018.10.13-2019.04.11,2018.12.12-2019.06.11,2019.02.10-2019.08.10,2019.04.11-2019.10.09,2019.06.11-2019.12.08,2019.08.09-2020.02.06,2019.10.09-2020.04.06,sum
0.04,0.9/0.1,-945.5555657709107,-758.2309422371017,553.1373688227998,2489.977582337892,690.7635583954296,919.65990289683,1080.858839390166,2347.1684254179468,-696.5112020928257,-780.5177765355965,-310.95448221029926,381.1995133295654,598.791274576798,400.12444960591404,5969.910945926608
0.07,0.85/0.15,-881.0326861432325,-821.8872361777203,485.7363034947513,2402.9212935631595,843.6188044881054,1162.1461481100769,1246.648057951994,1929.4607304238484,-788.0952406433126,-816.7179543257555,-352.0815834102789,507.02156232202356,637.8115406955357,397.28521299009395,5952.834953339289
0.08,0.85/0.15,-900.4495168775652,-874.4540856522373,354.2250636999226,2401.011876334731,884.9091897350671,1218.0026879666095,1276.1178988671074,1945.4382485806489,-785.5731455975376,-808.1148486736254,-333.0891418113031,541.203110795504,637.7069229932656,390.79064749628765,5947.724907856875
0.09,0.7/0.3,-696.4150730101155,-804.945125882799,362.1209378299378,2100.6198011410906,1097.4651206622348,1693.38526773731,1374.9066891298564,1349.8210200071912,-888.3297706256031,-824.5782161113866,-356.11378360166907,524.535775466487,620.670674655581,375.2069330491475,5928.3502504472635
0.09,0.6/0.4,-668.4745769177879,-651.5997756715932,332.98055508143955,1950.0772814880067,978.6137617705884,1890.6945076191173,1519.605948416151,1121.921443745676,-856.5847738340599,-859.0288467342781,-410.99518592236797,531.885600431366,583.1814393438582,451.69228820045606,5913.969667016572
0.0,0.85/0.15,-895.6597106141597,-678.9189812984825,540.5645703107737,2426.7430166221957,679.3153300344269,1023.9728803088129,1086.2717143664636,2177.206681243511,-725.0316858205766,-784.034595621971,-315.84425881316173,371.92883929351797,578.2226535307244,420.83486678332247,5905.571320325397
0.01,0.85/0.15,-901.3485188500679,-682.495580233409,547.0145547212085,2395.7992676278836,684.3329266779951,1031.5368065163543,1086.0938152765,2179.616575057022,-724.4993674390372,-782.3066445288189,-317.8091770356153,378.80812139712356,586.5705971585795,421.38619453284934,5902.699570878568
0.03,0.9/0.1,-955.1047099438671,-730.555526390042,567.7547827309255,2529.550429146825,638.3563517559928,884.8229031864319,1047.0068821862649,2320.9264028158323,-685.0048145879846,-767.9248280494959,-314.7892966992626,367.0920361883232,590.8939070274998,403.4295893405023,5896.454108707947
0.04,0.85/0.15,-913.986189986461,-780.9835225132938,447.1046828150651,2319.377680001933,732.148786649705,1088.5648059067498,1207.2810208470814,2171.278900826164,-692.2308005462529,-777.24316703326,-315.3704070126432,404.53046569857884,607.4687730824851,397.1686592596658,5895.1096879955185
0.02,0.85/0.15,-906.4388206898848,-699.6384834290778,543.9755662367209,2391.392170304472,681.4662852289723,1020.808329766577,1094.1994256025562,2186.091206262857,-708.1413476002741,-782.464297403378,-325.95373572244415,385.9090591659888,591.1123429139552,409.16348083183016,5881.481181468871
0.08,0.65/0.35,-662.2866415583753,-774.4467509092676,323.18255667288844,2099.032062240223,909.8781103866769,1812.1125752056726,1440.538753853205,1392.8955485592246,-855.9352824188015,-857.7173722734243,-378.1217532735769,547.375868761407,558.5447155456512,300.0462468351228,5855.0986376266255
0.03,0.85/0.15,-900.4429752272079,-731.8938050140512,501.77752100826245,2379.6520700762044,701.413687777239,1013.3592170137131,1108.662340983835,2168.1556696627017,-709.1791281154648,-777.7221327429269,-321.3152092066784,401.9613514475271,596.6908985836666,393.004170709694,5824.123676956514
0.01,0.8/0.2,-860.7233239266825,-688.5962684079975,488.45839181096386,2284.336029792372,707.0697524557565,1139.0623411633023,1142.870759697719,2023.9043058265001,-735.7444975350849,-793.1148054369359,-327.15263874262246,407.5379082161485,594.2032298434265,404.27957481928024,5786.390759576145
